# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 18:48:04
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: mix_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总单元数: 795405
# 总三角形单元数: 556695
# 总四边形单元数: 238710
# 晶界区域三角形数: 515156 (64.77%)
# 晶界区域四边形数: 0 (0.0%)
# 晶粒区域三角形数: 41539 (5.22%)
# 晶粒区域四边形数: 238710 (30.01%)
# 晶粒区域四边形重组效率: 85.18%

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数,四边形单元数
290,Boundary_74_2,1395,0
20,Grain_86,64,2416
81,Grain_24,116,2621
398,Boundary_9_3,2002,0
9,Grain_32,144,2399
189,Boundary_67_4,711,0
409,Boundary_28_6,762,0
249,Boundary_82_1,1305,0
395,Boundary_95_1,967,0
372,Boundary_93_4,1031,0
88,Grain_47,719,2284
260,Boundary_84_2,1282,0
37,Grain_82,96,2621
121,Boundary_42_1,697,0
311,Boundary_1_1,1480,0
281,Boundary_66_6,742,0
636,Boundary_67_2,792,0
620,Boundary_54_4,411,0
174,Boundary_72_2,1220,0
634,Boundary_75_3,853,0
496,Boundary_48_6,826,0
322,Boundary_6_3,1191,0
269,Boundary_45_5,1013,0
550,Boundary_50_2,934,0
262,Boundary_59_1,815,0
320,Boundary_33_1,850,0
635,Boundary_38_5,891,0
151,Boundary_21_1,910,0
244,Boundary_100_4,979,0
434,Boundary_93_6,905,0
277,Boundary_16_2,1161,0
377,Boundary_80_5,1255,0
549,Boundary_34_2,777,0
34,Grain_68,759,2374
50,Grain_59,723,2274
243,Boundary_68_1,434,0
194,Boundary_65_1,797,0
301,Boundary_36_5,1632,0
458,Boundary_89_1,864,0
572,Boundary_53_3,939,0
106,Boundary_68_2,870,0
600,Boundary_60_3,438,0
102,Grain_97,707,2199
259,Boundary_31_3,1155,0
379,Boundary_51_5,497,0
21,Grain_91,663,2143
440,Boundary_52_5,462,0
192,Boundary_73_4,948,0
362,Boundary_55_6,1226,0
47,Grain_76,102,2717
407,Boundary_29_4,926,0
178,Boundary_1_2,1020,0
387,Boundary_15_5,924,0
306,Boundary_72_1,1270,0
472,Boundary_81_5,819,0
155,Boundary_18_7,572,0
293,Boundary_89_3,939,0
499,Boundary_97_6,957,0
73,Grain_46,92,2525
251,Boundary_77_1,571,0
115,Boundary_60_5,430,0
112,Boundary_91_6,1143,0
584,Boundary_88_1,810,0
86,Grain_53,114,2468
207,Boundary_73_1,760,0
518,Boundary_50_3,1103,0
651,Boundary_66_3,685,0
465,Boundary_83_2,685,0
430,Boundary_37_3,1117,0
669,Boundary_75_2,1090,0
23,Grain_58,691,2147
264,Boundary_25_2,774,0
41,Grain_77,126,3244
68,Grain_31,655,2120
130,Boundary_70_4,1458,0
125,Boundary_59_2,954,0
666,Boundary_79_3,870,0
339,Boundary_4_3,1083,0
336,Boundary_31_5,1195,0
343,Boundary_29_5,857,0
468,Boundary_51_1,702,0
100,Grain_15,743,2308
230,Boundary_22_5,1221,0
639,Boundary_41_3,1212,0
195,Boundary_40_2,812,0
659,Boundary_50_4,966,0
388,Boundary_97_5,650,0
578,Boundary_99_4,1111,0
222,Boundary_15_7,816,0
276,Boundary_68_6,510,0
381,Boundary_52_2,768,0
247,Boundary_40_5,259,0
663,Boundary_42_4,877,0
560,Boundary_88_4,993,0
532,Boundary_69_1,1108,0
184,Boundary_61_7,1226,0
137,Boundary_49_1,705,0
435,Boundary_9_2,1146,0
