# 多晶材料三角形网格信息文件 (晶界细密-晶粒粗糙版)
# 生成时间: 2025-03-31 23:52:13
#
# 参数设置:
# - 几何文件: equiaxed_grains_with_boundaries.geo
# - 输出网格文件: triangle_mesh.msh
# - 晶粒网格尺寸: 0.02
# - 晶界网格尺寸: 0.0005
# - 过渡区域距离: 0.05
# - 优化时间限制: 60 秒
#
# 晶界区域生成细密三角形网格，晶粒区域生成粗糙三角形网格
# ==========================================

# ===== 网格统计 =====
# 总三角形单元数: 1034115
# 晶界区域三角形数: 515156 (49.82%)
# 晶粒区域三角形数: 518959 (50.18%)

# ===== 物理组网格统计 =====
# 物理组ID,物理组名称,三角形单元数
651,Boundary_66_3,685
465,Boundary_83_2,685
430,Boundary_37_3,1117
669,Boundary_75_2,1090
23,Grain_58,4985
264,Boundary_25_2,774
41,Grain_77,6614
68,Grain_31,4895
130,Boundary_70_4,1458
125,Boundary_59_2,954
666,Boundary_79_3,870
339,Boundary_4_3,1083
336,Boundary_31_5,1195
343,Boundary_29_5,857
468,Boundary_51_1,702
100,Grain_15,5359
230,Boundary_22_5,1221
639,Boundary_41_3,1212
195,Boundary_40_2,812
659,Boundary_50_4,966
388,Boundary_97_5,650
578,Boundary_99_4,1111
222,Boundary_15_7,816
276,Boundary_68_6,510
381,Boundary_52_2,768
247,Boundary_40_5,259
663,Boundary_42_4,877
560,Boundary_88_4,993
532,Boundary_69_1,1108
184,Boundary_61_7,1226
137,Boundary_49_1,705
435,Boundary_9_2,1146
427,Boundary_74_1,1368
237,Boundary_75_1,727
529,Boundary_64_6,784
270,Boundary_93_2,902
33,Grain_36,5336
254,Boundary_71_1,951
482,Boundary_4_4,944
165,Boundary_77_5,259
527,Boundary_87_3,962
142,Boundary_94_1,1078
416,Boundary_64_5,777
5,Grain_35,5110
45,Grain_71,4869
418,Boundary_20_2,644
449,Boundary_48_4,847
282,Boundary_72_4,1598
556,Boundary_11_6,1279
530,Boundary_43_1,666
393,Boundary_7_1,558
437,Boundary_99_3,1354
590,Boundary_38_2,798
148,Boundary_87_6,2522
623,Boundary_56_2,980
36,Grain_98,4867
7,Grain_60,5417
25,Grain_12,5161
95,Grain_96,5255
296,Boundary_80_3,579
476,Boundary_64_4,1011
341,Boundary_97_2,784
287,Boundary_1_4,660
19,Grain_63,5143
583,Boundary_96_3,760
44,Grain_95,5696
266,Boundary_61_3,626
31,Grain_43,5138
29,Grain_92,5210
303,Boundary_48_3,938
576,Boundary_27_6,868
159,Boundary_57_2,697
463,Boundary_30_4,911
360,Boundary_39_3,620
101,Grain_65,4741
520,Boundary_52_1,758
462,Boundary_10_5,959
246,Boundary_79_4,925
618,Boundary_83_6,1169
97,Grain_33,5397
402,Boundary_93_1,651
413,Boundary_92_6,1064
110,Boundary_56_5,1233
501,Boundary_11_4,1234
30,Grain_41,5362
648,Boundary_62_1,725
234,Boundary_59_4,995
614,Boundary_49_5,737
272,Boundary_79_1,1407
182,Boundary_96_1,788
164,Boundary_65_4,945
470,Boundary_14_2,749
267,Boundary_29_3,514
629,Boundary_60_2,799
359,Boundary_64_2,704
4,Grain_56,4900
328,Boundary_40_1,696
630,Boundary_70_5,850
11,Grain_67,4853
69,Grain_74,5147
119,Boundary_66_2,705
495,Boundary_96_7,991
307,Boundary_97_3,599
144,Boundary_34_6,1050
257,Boundary_66_1,1089
352,Boundary_40_6,1274
200,Boundary_86_4,1167
187,Boundary_45_3,1304
213,Boundary_92_3,1054
647,Boundary_91_1,691
227,Boundary_95_3,1212
109,Boundary_49_4,888
445,Boundary_11_5,597
453,Boundary_97_4,1098
120,Boundary_58_6,891
498,Boundary_90_1,920
562,Boundary_68_7,423
297,Boundary_51_3,687
24,Grain_52,5113
464,Boundary_27_5,751
433,Boundary_17_4,1147
447,Boundary_85_5,1182
314,Boundary_55_4,921
480,Boundary_54_3,1077
633,Boundary_21_5,977
566,Boundary_49_2,866
315,Boundary_93_5,751
268,Boundary_26_1,926
497,Boundary_15_6,686
32,Grain_11,5519
471,Boundary_20_5,867
239,Boundary_33_5,1117
567,Boundary_24_4,961
191,Boundary_38_6,734
661,Boundary_26_3,891
150,Boundary_12_5,1096
199,Boundary_60_1,1025
361,Boundary_5_6,494
98,Grain_40,5171
621,Boundary_63_4,1191
411,Boundary_10_2,762
310,Boundary_95_5,2138
169,Boundary_71_5,905
180,Boundary_60_4,1157
653,Boundary_5_7,1002
542,Boundary_2_1,977
428,Boundary_24_3,1465
347,Boundary_33_6,592
332,Boundary_90_3,1246
375,Boundary_28_1,668
229,Boundary_1_5,1149
163,Boundary_49_6,947
625,Boundary_32_1,757
338,Boundary_15_2,646
467,Boundary_99_2,1099
3,Grain_5,5014
96,Grain_51,5190
504,Boundary_85_4,911
35,Grain_69,5287
657,Boundary_58_1,1085
348,Boundary_52_3,896
417,Boundary_19_1,1231
333,Boundary_48_2,592
506,Boundary_13_1,855
603,Boundary_53_2,665
376,Boundary_27_3,786
12,Grain_45,4930
82,Grain_8,5260
71,Grain_29,5286
208,Boundary_28_3,755
521,Boundary_91_2,624
26,Grain_28,5281
127,Boundary_57_3,1025
571,Boundary_37_4,1182
565,Boundary_63_5,705
389,Boundary_84_1,1142
295,Boundary_29_2,684
57,Grain_42,4945
619,Boundary_86_3,1157
475,Boundary_97_1,921
511,Boundary_83_5,474
397,Boundary_19_4,581
129,Boundary_26_2,763
78,Grain_88,5149
133,Boundary_98_6,980
258,Boundary_55_5,499
72,Grain_94,5052
252,Boundary_36_2,585
579,Boundary_58_5,477
313,Boundary_5_4,982
604,Boundary_14_1,689
588,Boundary_98_5,471
354,Boundary_11_3,449
299,Boundary_33_4,469
345,Boundary_45_1,978
573,Boundary_47_3,1621
516,Boundary_63_2,775
231,Boundary_71_4,991
432,Boundary_29_1,954
114,Boundary_77_2,893
624,Boundary_35_2,826
275,Boundary_57_4,877
337,Boundary_55_1,959
363,Boundary_90_2,424
378,Boundary_18_4,501
176,Boundary_35_4,917
469,Boundary_6_4,795
451,Boundary_39_5,1072
553,Boundary_70_3,1018
157,Boundary_38_1,877
582,Boundary_14_4,769
392,Boundary_69_2,1160
370,Boundary_13_2,931
16,Grain_4,4785
622,Boundary_94_5,567
489,Boundary_51_6,1031
74,Grain_57,4866
228,Boundary_60_6,1459
580,Boundary_94_2,545
105,Boundary_41_2,1749
399,Boundary_44_4,473
421,Boundary_44_1,1550
166,Boundary_78_2,927
585,Boundary_20_6,650
668,Boundary_98_1,877
274,Boundary_18_2,648
15,Grain_90,5980
538,Boundary_39_1,449
6,Grain_55,5199
219,Boundary_82_4,1328
153,Boundary_75_5,1113
139,Boundary_72_3,1284
13,Grain_73,4961
405,Boundary_18_1,1026
104,Boundary_65_5,1009
524,Boundary_10_4,1072
640,Boundary_73_2,919
302,Boundary_78_1,623
43,Grain_25,5145
539,Boundary_49_3,711
646,Boundary_77_3,934
39,Grain_39,5254
126,Boundary_46_3,868
441,Boundary_89_4,881
443,Boundary_51_4,1277
156,Boundary_23_5,948
439,Boundary_14_3,270
344,Boundary_8_7,641
346,Boundary_30_2,920
294,Boundary_61_2,524
512,Boundary_30_6,777
481,Boundary_63_3,582
161,Boundary_68_5,1042
531,Boundary_11_1,1227
383,Boundary_20_3,816
401,Boundary_31_4,711
209,Boundary_80_7,1059
323,Boundary_89_2,1057
545,Boundary_94_3,877
8,Grain_30,4935
83,Grain_17,5349
201,Boundary_5_2,720
99,Grain_48,4947
593,Boundary_8_1,1083
554,Boundary_21_3,1078
491,Boundary_52_4,992
386,Boundary_48_5,763
602,Boundary_50_5,1056
461,Boundary_2_5,559
334,Boundary_44_5,1171
586,Boundary_81_6,833
423,Boundary_25_6,446
627,Boundary_62_4,920
510,Boundary_37_5,349
559,Boundary_38_3,756
210,Boundary_12_4,639
63,Grain_81,5113
91,Grain_89,4924
173,Boundary_94_6,929
256,Boundary_5_5,764
188,Boundary_100_5,807
355,Boundary_92_4,819
235,Boundary_12_1,803
204,Boundary_67_1,1021
568,Boundary_8_4,615
384,Boundary_81_3,874
371,Boundary_89_5,1209
76,Grain_21,4784
167,Boundary_53_1,761
42,Grain_7,5502
132,Boundary_28_7,902
140,Boundary_86_5,1116
605,Boundary_47_2,860
442,Boundary_80_4,582
652,Boundary_47_5,773
255,Boundary_44_3,1236
291,Boundary_26_6,991
452,Boundary_17_1,815
94,Grain_80,5425
225,Boundary_25_3,856
128,Boundary_73_5,715
350,Boundary_6_2,599
70,Grain_61,5620
38,Grain_85,4842
326,Boundary_80_2,876
561,Boundary_39_6,555
221,Boundary_84_3,1152
175,Boundary_56_4,833
546,Boundary_32_5,1151
611,Boundary_73_3,657
613,Boundary_96_2,516
459,Boundary_37_2,1107
149,Boundary_70_1,971
641,Boundary_68_3,734
65,Grain_49,4873
298,Boundary_28_5,1008

# 网格文件保存到: triangle_mesh.msh
# VTK格式保存到: triangle_mesh.vtk
# Abaqus INP格式保存到: triangle_mesh.inp
# 总优化时间: 165.85s (限制: 60s)
# 总用时: 245.45s
